n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
0,             1,               0,              1,         1,           0,          1,             1,               0,              1,        6,          0,         1
1,             1,               0,              0,         1,           0,          1,             1,               0,              0,       10,          1,         2
2,             4,               0,              1,        11,           2,          3,             6,               0,              1,       22,          3,         4
3,             7,               0,              1,        13,           2,          2,            13,               0,              1,       31,          5,         8
4,            10,               0,              2,        25,           4,          4,            22,               0,              2,       52,          9,         7
5,            13,               0,              3,        37,           6,          6,            33,               0,              3,       64,         11,        17
6,            16,               0,              2,        41,           6,          6,            46,               0,              5,       85,         15,         9
7,            19,               0,              2,        45,           6,          6,            61,               0,              4,       97,         17,        11
8,            22,               0,              2,        59,           8,          8,            78,               0,              4,      126,         23,        21
9,            25,               0,              3,        73,          10,         17,            97,               0,              6,      147,         27,        14
